"תאריך","הגרלה","_1_","_2_","_3_","_4_","_5_","_6_","_7_","_8_","_9_","_10_","_11_","_12_","_13_","_14_","_15_","_16_","_17_","מספר_הזוכים_בפרס_הראשון"
"15/03/13","6080","10","11","12","13","16","23","24","32","34","42","46","49","54","55","57","60","64","1"
"14/03/13","6079","02","16","21","25","29","31","34","40","43","44","45","49","50","54","57","62","65","0"
"14/03/13","6078","02","04","05","09","11","19","20","21","27","29","37","43","48","54","55","68","70","1"
"13/03/13","6077","04","07","11","17","31","35","40","43","47","49","50","55","56","58","63","67","68","0"
"13/03/13","6076","02","03","11","17","22","24","28","34","48","51","53","55","58","62","65","66","69","0"
"12/03/13","6075","05","12","16","26","34","36","40","42","43","51","55","58","59","60","63","66","67","0"
"12/03/13","6074","02","07","14","15","16","17","23","28","30","33","42","47","49","50","56","58","66","0"
"11/03/13","6073","01","12","19","20","24","26","29","35","42","44","49","51","57","61","64","65","69","0"
"11/03/13","6072","01","02","03","05","09","10","17","21","36","37","41","42","43","48","56","57","61","1"
"10/03/13","6071","05","14","16","19","20","23","24","29","37","43","44","45","51","52","58","64","68","0"
"10/03/13","6070","02","07","10","12","25","26","30","47","50","51","54","56","57","61","66","67","68","0"
"09/03/13","6069","11","13","15","16","23","25","29","31","35","40","47","50","55","57","63","64","67","0"
"08/03/13","6068","05","09","18","19","20","24","25","33","38","42","43","52","54","56","58","67","69","0"
"07/03/13","6067","04","05","06","10","16","20","24","35","36","41","44","50","60","62","65","69","70","0"
"07/03/13","6066","08","09","14","15","21","23","27","36","37","38","42","47","61","63","65","67","69","0"
"06/03/13","6065","03","06","11","14","16","17","26","28","35","44","46","49","52","53","58","61","62","0"
"06/03/13","6064","01","04","07","10","11","18","23","24","28","40","41","43","46","58","59","63","65","0"
"05/03/13","6063","02","07","09","23","26","41","43","44","47","49","60","62","63","65","66","68","69","0"
"05/03/13","6062","07","12","25","33","34","37","42","43","44","47","48","51","57","58","60","65","70","0"
"04/03/13","6061","03","04","08","11","12","14","16","19","22","23","24","28","45","48","62","64","66","2"
"04/03/13","6060","01","05","08","09","12","17","22","23","25","29","31","36","59","60","63","64","66","1"
"03/03/13","6059","03","09","21","22","27","28","29","32","35","38","41","44","46","48","49","54","63","1"
"03/03/13","6058","02","11","12","15","19","20","24","27","28","33","40","41","48","53","61","62","66","0"
"02/03/13","6057","03","05","08","10","15","18","19","20","40","42","43","47","50","55","58","60","68","0"
"01/03/13","6056","02","04","09","11","14","20","22","27","35","42","45","57","58","62","66","68","70","0"
"28/02/13","6055","05","10","15","16","19","20","25","31","33","39","42","46","51","54","61","64","65","0"
"28/02/13","6054","01","02","03","05","12","15","16","24","26","27","33","38","46","53","54","59","64","1"
"27/02/13","6053","03","11","18","20","24","26","28","29","30","32","35","41","45","49","61","62","70","1"
"27/02/13","6052","01","11","15","18","19","24","26","29","35","43","44","46","48","59","60","61","65","0"
"26/02/13","6051","02","04","08","10","11","12","15","19","24","27","40","43","47","56","60","66","69","1"
"26/02/13","6050","04","11","16","19","21","22","23","27","29","31","35","36","59","60","62","63","66","0"
"25/02/13","6049","01","03","10","12","14","18","28","32","36","39","40","45","46","51","53","65","69","1"
"25/02/13","6048","01","07","12","13","14","20","25","29","36","39","45","46","48","60","64","66","67","0"
"24/02/13","6047","07","08","09","10","16","19","20","26","27","30","38","42","49","58","61","69","70","0"
"24/02/13","6046","07","09","10","11","12","18","24","25","28","30","33","41","44","48","52","54","56","0"
"23/02/13","6045","02","03","10","13","15","17","19","24","28","30","44","50","52","54","55","67","70","0"
"22/02/13","6044","03","09","12","17","27","28","29","34","38","41","48","52","53","54","56","61","65","0"
"21/02/13","6043","06","13","28","33","36","39","42","44","46","49","50","53","54","56","59","62","63","0"
"21/02/13","6042","04","05","06","08","09","16","20","26","27","29","32","40","43","47","49","65","66","0"
"20/02/13","6041","01","10","11","13","17","20","22","31","37","41","43","48","53","57","58","61","67","0"
"20/02/13","6040","01","05","07","09","14","16","17","25","26","27","33","35","39","44","46","60","65","0"
"19/02/13","6039","02","06","22","26","29","30","42","46","47","48","50","52","53","57","62","64","65","1"
"19/02/13","6038","04","10","15","17","22","26","32","36","39","44","46","53","59","64","66","68","70","0"
"18/02/13","6037","07","09","10","11","12","15","17","21","28","32","43","44","47","51","59","61","66","3"
"18/02/13","6036","07","09","15","18","19","25","39","41","44","46","49","51","57","59","63","67","68","1"
"17/02/13","6035","02","03","08","11","16","17","20","23","26","34","37","43","50","60","64","65","68","0"
"17/02/13","6034","01","14","16","24","25","26","27","31","33","41","43","54","56","57","62","66","69","0"
"16/02/13","6033","01","02","07","13","27","34","39","40","42","46","54","58","60","62","63","67","69","0"
"15/02/13","6032","09","11","12","16","18","19","22","24","28","31","32","42","47","55","59","66","67","1"
"14/02/13","6031","03","06","09","20","27","28","30","33","36","46","50","51","53","54","64","67","68","0"
"14/02/13","6030","01","02","08","23","25","27","30","31","33","37","47","54","55","57","61","66","70","0"
"13/02/13","6029","02","03","06","09","10","13","16","25","27","28","48","49","50","55","56","58","68","3"
"13/02/13","6028","01","12","15","18","22","23","28","30","31","42","45","46","56","58","63","65","66","0"
"12/02/13","6027","04","10","14","15","21","22","28","41","42","43","44","49","55","58","59","60","63","0"
"12/02/13","6026","07","10","12","19","21","23","25","35","36","38","46","50","53","56","63","64","65","1"
"11/02/13","6025","03","04","06","11","16","20","22","23","27","28","32","35","37","48","49","58","61","1"
"11/02/13","6024","01","06","09","13","18","20","22","25","28","29","40","42","43","47","57","59","66","0"
"10/02/13","6023","02","06","13","15","18","20","21","25","29","30","32","36","37","45","46","53","66","0"
"10/02/13","6022","05","09","19","20","23","25","26","34","40","44","50","51","56","59","60","64","70","0"
"09/02/13","6021","01","03","09","10","13","22","25","27","29","30","34","35","41","43","50","53","57","1"
"08/02/13","6020","02","05","06","12","15","18","28","31","43","46","50","51","52","56","58","59","69","0"
"07/02/13","6019","02","03","04","05","09","13","16","22","26","36","37","38","42","45","46","47","63","0"
"07/02/13","6018","18","20","21","22","26","27","28","32","41","44","45","47","53","58","59","61","62","0"
"06/02/13","6017","01","06","11","12","16","19","21","30","35","44","45","53","54","58","59","65","68","0"
"06/02/13","6016","02","03","17","19","33","35","39","42","43","46","47","49","54","58","60","63","65","0"
"05/02/13","6015","01","12","14","19","20","24","30","33","34","38","43","45","47","51","53","56","60","0"
"05/02/13","6014","03","06","13","15","17","19","21","23","27","31","48","56","58","62","65","67","70","0"
"04/02/13","6013","02","03","12","14","19","20","21","23","24","32","40","42","44","51","57","65","70","0"
"04/02/13","6012","05","12","16","17","19","21","22","25","26","34","42","43","44","55","64","65","67","0"
"03/02/13","6011","01","06","17","19","20","21","23","38","42","44","50","51","53","55","62","64","66","0"
"03/02/13","6010","05","17","19","20","21","22","24","27","29","42","45","49","50","51","55","57","61","0"
"02/02/13","6009","02","06","12","19","23","31","47","51","53","56","60","63","64","66","67","68","70","1"
"01/02/13","6008","02","07","10","11","15","26","27","33","34","42","44","51","52","53","56","63","68","0"
"31/01/13","6007","02","04","05","07","27","29","31","38","39","40","41","47","50","55","58","59","60","0"
"31/01/13","6006","15","16","17","18","20","30","31","34","35","36","41","44","45","51","56","60","68","1"
"30/01/13","6005","06","07","11","19","21","23","36","39","40","43","45","47","51","55","66","69","70","0"
"30/01/13","6004","01","08","11","14","15","24","26","29","34","35","37","40","42","47","59","65","67","0"
"29/01/13","6003","01","04","06","16","27","31","35","38","42","54","57","60","62","63","64","65","68","1"
"29/01/13","6002","03","08","12","19","22","23","28","30","35","43","51","56","58","64","65","66","68","0"
"28/01/13","6001","07","18","23","25","27","28","36","44","46","47","48","52","59","60","66","67","68","0"
"28/01/13","6000","02","08","09","16","19","23","34","36","37","43","49","53","54","56","63","65","66","0"
"27/01/13","5999","04","06","08","19","25","26","31","35","38","46","47","50","51","56","62","64","66","1"
"27/01/13","5998","02","03","14","22","23","24","26","43","48","52","55","57","59","61","62","63","64","0"
"26/01/13","5997","02","03","05","08","19","22","25","29","32","34","35","36","39","40","64","66","69","0"
"25/01/13","5996","05","07","10","16","21","26","32","33","40","44","46","48","51","52","54","60","61","1"
"24/01/13","5995","12","15","17","19","23","29","30","39","50","56","60","61","63","65","67","68","69","0"
"24/01/13","5994","04","14","15","17","24","26","27","28","30","31","34","36","41","42","47","54","61","0"
"23/01/13","5993","05","22","23","24","28","31","33","35","38","39","40","43","55","56","57","66","68","0"
"23/01/13","5992","05","12","15","21","22","26","37","38","41","47","49","55","57","59","61","65","69","0"
"22/01/13","5991","01","19","20","23","25","26","30","33","41","45","47","53","55","56","57","65","68","0"
"22/01/13","5990","05","11","18","21","22","26","28","32","35","36","38","39","43","47","59","61","62","0"
"21/01/13","5989","01","03","05","09","13","18","27","30","34","38","42","45","46","51","56","66","67","0"
"21/01/13","5988","02","07","10","15","24","29","37","39","43","48","53","55","60","62","64","67","69","0"
"20/01/13","5987","02","06","14","18","21","23","33","34","43","44","45","51","53","58","61","64","68","0"
"20/01/13","5986","01","02","05","07","08","10","11","13","14","16","18","23","27","38","47","56","62","14"
"19/01/13","5985","01","06","13","16","19","20","21","24","35","42","48","50","52","54","57","64","70","0"
"18/01/13","5984","06","09","30","32","33","34","39","40","42","45","46","47","48","55","62","64","66","0"
"17/01/13","5983","08","11","17","27","30","31","32","35","41","49","51","52","58","62","66","68","69","3"
"17/01/13","5982","05","11","13","17","22","23","24","35","40","43","46","48","53","55","58","60","66","0"
"16/01/13","5981","08","12","16","17","19","26","27","29","31","37","40","49","51","54","56","59","63","0"
"16/01/13","5980","03","05","07","12","19","26","27","30","31","35","45","53","55","57","63","65","70","1"
"15/01/13","5979","03","06","07","09","13","21","22","26","28","38","41","44","49","55","56","68","69","0"
"15/01/13","5978","02","07","09","11","17","21","29","34","36","37","41","50","54","55","60","65","68","0"
"14/01/13","5977","01","06","09","11","12","15","19","20","28","29","38","39","49","52","53","58","62","0"
"14/01/13","5976","02","03","05","06","08","12","22","24","25","26","45","47","52","55","56","57","67","0"
"13/01/13","5975","02","04","06","08","13","17","18","21","25","30","33","35","36","43","47","50","52","1"
"13/01/13","5974","07","15","19","20","30","31","35","36","45","47","48","50","51","52","54","65","66","0"
"12/01/13","5973","06","07","09","11","23","27","31","32","36","38","43","48","49","60","63","66","69","1"
"11/01/13","5972","05","09","14","17","20","23","24","29","31","43","46","49","51","62","64","65","67","0"
"10/01/13","5971","04","10","11","12","17","19","29","36","38","42","44","48","58","61","65","66","67","0"
"10/01/13","5970","05","12","14","16","19","20","24","27","32","34","35","36","43","52","56","57","59","0"
"09/01/13","5969","01","08","17","21","23","27","29","30","31","37","46","53","58","60","62","63","68","0"
"09/01/13","5968","08","16","21","23","25","35","37","38","46","49","54","55","59","60","63","65","70","0"
"08/01/13","5967","05","08","12","13","14","15","17","25","33","34","36","44","50","51","63","65","70","0"
"08/01/13","5966","02","06","10","17","18","26","28","31","42","43","44","47","49","53","56","65","69","1"
"07/01/13","5965","02","03","10","13","20","21","23","29","36","37","41","57","59","61","64","66","68","0"
"07/01/13","5964","07","08","12","20","21","23","24","26","32","33","35","37","44","51","58","59","62","0"
"06/01/13","5963","01","04","14","22","23","32","37","45","48","53","56","59","60","62","63","65","70","0"
"06/01/13","5962","01","04","22","23","24","25","29","30","31","32","40","41","44","47","51","53","61","0"
"05/01/13","5961","04","08","19","20","27","31","33","34","37","41","46","47","53","54","64","67","68","0"
"04/01/13","5960","08","15","19","23","29","39","43","45","52","54","56","57","58","65","66","67","70","0"
"03/01/13","5959","04","15","21","26","28","30","41","42","45","51","53","54","58","59","60","65","70","0"
"03/01/13","5958","02","10","13","14","17","21","29","37","38","48","52","53","57","62","63","65","70","0"
"02/01/13","5957","02","10","13","20","24","27","32","36","39","44","45","51","57","59","60","63","64","1"
